조사일,주차,생장길이(cm),화방높이(cm),줄기굵기(mm),엽장(cm),엽폭(cm),엽수(개),개화군(점),착과군(점),열매수(개),최종화방번호(번)
2018-10-14,13,3063.0,0.0,7.0,313.0,260.0,31.0,8.0,9.0,101.0,
2018-10-16,13,3063.0,0.0,7.0,313.0,260.0,31.0,8.0,9.0,101.0,
2018-10-23,14,0.0,0.0,7.0,360.0,303.0,22.0,3.0,3.0,112.0,
2018-10-30,15,0.0,0.0,0.0,343.0,280.0,17.0,0.0,0.0,105.0,
2018-11-06,16,0.0,0.0,8.0,335.0,335.0,13.0,0.0,0.0,97.0,
2018-11-13,17,0.0,0.0,7.0,323.0,258.0,8.0,0.0,0.0,83.0,
2018-11-20,18,0.0,0.0,8.0,315.0,275.0,4.0,0.0,0.0,62.0,
2018-11-27,19,188.0,0.0,0.0,108.0,95.0,8.0,0.0,0.0,0.0,
2018-12-04,20,310.0,0.0,0.0,183.0,143.0,10.0,0.0,0.0,0.0,
2018-12-11,21,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-12-18,22,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-12-26,23,903.0,361.0,8.0,364.0,313.0,7.0,1.0,0.0,7.0,
2019-01-08,25,328.0,366.0,13.0,535.0,513.0,11.0,2.0,2.0,20.0,
2019-01-15,26,177.0,326.0,13.0,571.0,520.0,12.0,3.0,3.0,31.0,
2019-01-22,27,173.0,375.0,15.0,554.0,499.0,11.0,3.0,3.0,45.0,
2019-01-29,28,225.0,335.0,14.0,528.0,458.0,12.0,4.0,4.0,61.0,
2019-02-05,29,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019-02-12,30,225.0,255.0,1.0,408.0,324.0,15.0,6.0,6.0,97.0,
2019-02-19,31,240.0,292.0,1.0,312.0,272.0,16.0,7.0,7.0,116.0,
2019-02-26,32,246.0,273.0,9.0,364.0,269.0,18.0,8.0,8.0,130.0,
2019-03-05,33,238.0,352.0,9.0,377.0,271.0,18.0,9.0,8.0,157.0,
2019-03-12,34,281.0,244.0,8.0,323.0,228.0,20.0,10.0,9.0,169.0,
2019-03-19,35,318.0,354.0,8.0,358.0,257.0,18.0,11.0,10.0,163.0,
2019-03-26,36,267.0,312.0,9.0,355.0,245.0,17.0,12.0,11.0,127.0,
2019-04-02,37,288.0,326.0,8.0,358.0,262.0,22.0,13.0,13.0,149.0,
2019-04-09,38,241.0,273.0,8.0,328.0,206.0,25.0,14.0,14.0,134.0,
2019-04-16,39,289.0,248.0,8.0,347.0,246.0,22.0,15.0,15.0,126.0,
2019-04-23,40,255.0,290.0,9.0,346.0,248.0,24.0,16.0,16.0,117.0,
2019-04-30,41,0.0,0.0,0.0,0.0,0.0,19.0,17.0,17.0,105.0,
2019-05-07,42,0.0,0.0,0.0,0.0,0.0,23.0,18.0,18.0,74.0,
2019-05-14,43,0.0,0.0,0.0,0.0,0.0,16.0,18.0,18.0,92.0,
2019-05-21,44,0.0,0.0,0.0,0.0,0.0,16.0,19.0,19.0,69.0,
2019-05-28,45,0.0,0.0,0.0,0.0,0.0,16.0,18.0,18.0,59.0,
2019-06-04,46,0.0,0.0,0.0,0.0,0.0,10.0,18.0,18.0,37.0,
2019-06-11,47,0.0,0.0,0.0,0.0,0.0,10.0,18.0,18.0,17.0,
2019-06-18,48,0.0,0.0,0.0,0.0,0.0,10.0,18.0,18.0,0.0,
